Country,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Monaco,Montenegro,Netherlands,Norway,Poland,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Spain,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Jan,"6.7
(44.1)","2.2
(36.0)","0.3
(32.5)","−4.5
(23.9)","3.3
(37.9)","−0.5
(31.1)","−0.5
(31.1)","0.3
(32.5)","10.6
(51.1)","−1.4
(29.5)","1.4
(34.5)","−2.9
(26.8)","−3.9
(25.0)","7.1
(44.8)","4.9
(40.8)","0.6
(33.1)","10.2
(50.4)","0.4
(32.7)","−0.5
(31.1)","5.3
(41.5)","2.5
(36.5)","−4.7
(23.5)","0.8
(33.4)","−6.1
(21.0)","0.8
(33.4)","0.1
(32.2)","12.8
(55.0)","−1.9
(28.6)","10.2
(50.4)","5.0
(41.0)","3.4
(38.1)","−4.3
(24.3)","−1.0
(30.2)","0.0
(32.0)","11.6
(52.9)","−1.3
(29.7)","2.7
(36.9)","1.4
(34.5)","−0.4
(31.3)","11.8
(53.2)","11.8
(53.2)","−2.8
(27.0)","0.3
(32.5)","5.7
(42.3)","−3.5
(25.7)","5.2
(41.4)"
Feb,"7.8
(46.0)","3.5
(38.3)","1.5
(34.7)","−4.4
(24.1)","3.7
(38.7)","1.4
(34.5)","1.1
(34.0)","2.3
(36.1)","10.6
(51.1)","−0.4
(31.3)","1.4
(34.5)","−3.6
(25.5)","−4.7
(23.5)","7.8
(46.0)","5.6
(42.1)","2.3
(36.1)","10.9
(51.6)","2.3
(36.1)","0.4
(32.7)","5.3
(41.5)","4.7
(40.5)","−4.2
(24.4)","2.1
(35.8)","−4.8
(23.4)","1.6
(34.9)","2.6
(36.7)","12.8
(55.0)","−0.8
(30.6)","10.2
(50.4)","6.8
(44.2)","3.5
(38.3)","−4.0
(24.8)","0.4
(32.7)","1.1
(34.0)","12.7
(54.9)","0.4
(32.7)","4.2
(39.6)","3.1
(37.6)","1.2
(34.2)","12.4
(54.3)","12.5
(54.5)","−3.0
(26.6)","1.3
(34.3)","5.7
(42.3)","−3.0
(26.6)","5.3
(41.5)"
Mar,"10.0
(50.0)","5.8
(42.4)","5.7
(42.3)","0.0
(32.0)","6.8
(44.2)","5.7
(42.3)","5.4
(41.7)","6.4
(43.5)","13.1
(55.6)","3.6
(38.5)","3.5
(38.3)","−0.6
(30.9)","−1.3
(29.7)","10.7
(51.3)","8.8
(47.8)","5.1
(41.2)","13.2
(55.8)","6.1
(43.0)","0.5
(32.9)","6.8
(44.2)","9.0
(48.2)","0.5
(32.9)","6.3
(43.3)","−0.6
(30.9)","5.2
(41.4)","7.6
(45.7)","13.3
(55.9)","3.7
(38.7)","12.0
(53.6)","10.0
(50.0)","6.1
(43.0)","−0.2
(31.6)","4.1
(39.4)","4.3
(39.7)","14.9
(58.8)","5.4
(41.7)","6.4
(43.5)","7.6
(45.7)","5.5
(41.9)","14.2
(57.6)","14.6
(58.3)","0.1
(32.2)","5.3
(41.5)","7.0
(44.6)","1.8
(35.2)","7.6
(45.7)"
Apr,"13.4
(56.1)","7.5
(45.5)","10.7
(51.3)","7.2
(45.0)","9.8
(49.6)","10.0
(50.0)","10.6
(51.1)","10.7
(51.3)","17.1
(62.8)","8.4
(47.1)","7.7
(45.9)","4.8
(40.6)","3.9
(39.0)","13.0
(55.4)","11.4
(52.5)","10.2
(50.4)","16.9
(62.4)","12.0
(53.6)","2.9
(37.2)","8.3
(46.9)","12.2
(54.0)","5.1
(41.2)","9.9
(49.8)","5.7
(42.3)","8.7
(47.7)","12.1
(53.8)","15.6
(60.1)","10.4
(50.7)","13.8
(56.8)","13.9
(57.0)","9.1
(48.4)","4.5
(40.1)","9.8
(49.6)","9.7
(49.5)","15.9
(60.6)","11.2
(52.2)","10.1
(50.2)","12.9
(55.2)","11.0
(51.8)","15.8
(60.4)","16.2
(61.2)","4.6
(40.3)","8.8
(47.8)","11.1
(52.0)","9.3
(48.7)","9.9
(49.8)"
May,"18.0
(64.4)","11.5
(52.7)","15.7
(60.3)","13.3
(55.9)","13.6
(56.5)","14.8
(58.6)","15.4
(59.7)","15.8
(60.4)","22.3
(72.1)","13.4
(56.1)","12.5
(54.5)","10.2
(50.4)","10.2
(50.4)","16.6
(61.9)","15.1
(59.2)","14.8
(58.6)","21.8
(71.2)","16.6
(61.9)","6.3
(43.3)","10.9
(51.6)","17.0
(62.6)","11.4
(52.5)","14.4
(57.9)","12.5
(54.5)","13.0
(55.4)","17.3
(63.1)","18.9
(66.0)","16.5
(61.7)","17.5
(63.5)","19.0
(66.2)","12.9
(55.2)","10.8
(51.4)","14.6
(58.3)","14.3
(57.7)","18.0
(64.4)","16.8
(62.2)","14.6
(58.3)","18.1
(64.6)","16.0
(60.8)","19.3
(66.7)","19.0
(66.2)","10.7
(51.3)","13.3
(55.9)","15.7
(60.3)","15.5
(59.9)","13.3
(55.9)"
Jun,"21.6
(70.9)","15.4
(59.7)","18.7
(65.7)","16.4
(61.5)","16.2
(61.2)","17.7
(63.9)","18.9
(66.0)","18.8
(65.8)","26.9
(80.4)","16.1
(61.0)","15.6
(60.1)","14.5
(58.1)","14.6
(58.3)","19.8
(67.6)","18.2
(64.8)","17.9
(64.2)","26.6
(79.9)","19.7
(67.5)","9.0
(48.2)","13.6
(56.5)","20.8
(69.4)","15.5
(59.9)","17.1
(62.8)","15.8
(60.4)","15.9
(60.6)","21.5
(70.7)","22.8
(73.0)","19.9
(67.8)","20.9
(69.6)","22.8
(73.0)","15.4
(59.7)","15.2
(59.4)","18.3
(64.9)","17.7
(63.9)","21.2
(70.2)","20.6
(69.1)","18.5
(65.3)","21.0
(69.8)","19.1
(66.4)","23.0
(73.4)","22.9
(73.2)","15.6
(60.1)","16.4
(61.5)","20.4
(68.7)","18.5
(65.3)","16.5
(61.7)"
Jul,"24.0
(75.2)","18.8
(65.8)","20.8
(69.4)","18.5
(65.3)","18.4
(65.1)","19.7
(67.5)","21.2
(70.2)","20.6
(69.1)","29.7
(85.5)","18.2
(64.8)","18.1
(64.6)","17.6
(63.7)","17.8
(64.0)","21.7
(71.1)","20.4
(68.7)","20.3
(68.5)","29.3
(84.7)","21.5
(70.7)","10.6
(51.1)","15.6
(60.1)","23.6
(74.5)","16.9
(62.4)","19.0
(66.2)","16.9
(62.4)","18.2
(64.8)","23.8
(74.8)","26.1
(79.0)","22.1
(71.8)","23.8
(74.8)","26.0
(78.8)","17.6
(63.7)","16.4
(61.5)","20.0
(68.0)","19.7
(67.5)","23.1
(73.6)","22.5
(72.5)","21.3
(70.3)","23.0
(73.4)","21.3
(70.3)","25.7
(78.3)","25.6
(78.1)","17.2
(63.0)","18.6
(65.5)","22.9
(73.2)","20.5
(68.9)","18.7
(65.7)"
Aug,"23.8
(74.8)","18.5
(65.3)","20.2
(68.4)","17.5
(63.5)","18.0
(64.4)","19.7
(67.5)","21.0
(69.8)","20.1
(68.2)","29.4
(84.9)","17.8
(64.0)","17.7
(63.9)","16.5
(61.7)","16.3
(61.3)","21.9
(71.4)","20.2
(68.4)","19.7
(67.5)","29.3
(84.7)","21.2
(70.2)","10.3
(50.5)","15.3
(59.5)","23.0
(73.4)","16.2
(61.2)","18.4
(65.1)","16.3
(61.3)","17.7
(63.9)","23.8
(74.8)","26.7
(80.1)","21.7
(71.1)","24.2
(75.6)","25.6
(78.1)","17.5
(63.5)","15.2
(59.4)","19.2
(66.6)","19.3
(66.7)","23.5
(74.3)","22.0
(71.6)","21.4
(70.5)","22.7
(72.9)","20.7
(69.3)","26.1
(79.0)","26.1
(79.0)","16.2
(61.2)","18.0
(64.4)","23.1
(73.6)","19.7
(67.5)","18.5
(65.3)"
Sep,"20.7
(69.3)","14.9
(58.8)","15.4
(59.7)","12.1
(53.8)","14.9
(58.8)","15.3
(59.5)","16.5
(61.7)","15.9
(60.6)","26.2
(79.2)","13.5
(56.3)","13.9
(57.0)","12.0
(53.6)","11.5
(52.7)","18.8
(65.8)","16.9
(62.4)","15.3
(59.5)","25.0
(77.0)","16.9
(62.4)","7.4
(45.3)","13.4
(56.1)","19.2
(66.6)","12.0
(53.6)","14.9
(58.8)","11.6
(52.9)","13.9
(57.0)","18.8
(65.8)","23.9
(75.0)","16.3
(61.3)","21.1
(70.0)","21.4
(70.5)","14.7
(58.5)","10.8
(51.4)","14.1
(57.4)","14.5
(58.1)","22.1
(71.8)","16.9
(62.4)","17.8
(64.0)","18.0
(64.4)","15.9
(60.6)","23.0
(73.4)","23.5
(74.3)","11.9
(53.4)","14.1
(57.4)","19.8
(67.6)","14.2
(57.6)","15.7
(60.3)"
Oct,"16.0
(60.8)","10.3
(50.5)","10.2
(50.4)","6.6
(43.9)","11.1
(52.0)","11.0
(51.8)","11.3
(52.3)","10.5
(50.9)","22.3
(72.1)","8.5
(47.3)","9.8
(49.6)","6.5
(43.7)","6.6
(43.9)","15.2
(59.4)","12.9
(55.2)","10.5
(50.9)","20.1
(68.2)","11.8
(53.2)","4.4
(39.9)","10.5
(50.9)","13.4
(56.1)","7.4
(45.3)","10.9
(51.6)","6.6
(43.9)","9.5
(49.1)","13.1
(55.6)","21.1
(70.0)","10.5
(50.9)","17.9
(64.2)","15.9
(60.6)","11.0
(51.8)","6.3
(43.3)","9.2
(48.6)","9.6
(49.3)","18.8
(65.8)","11.0
(51.8)","12.8
(55.0)","12.9
(55.2)","10.4
(50.7)","19.5
(67.1)","19.7
(67.5)","7.5
(45.5)","9.9
(49.8)","15.6
(60.1)","8.4
(47.1)","12.0
(53.6)"
Nov,"11.7
(53.1)","5.7
(42.3)","5.1
(41.2)","0.6
(33.1)","6.8
(44.2)","5.4
(41.7)","5.1
(41.2)","5.0
(41.0)","16.3
(61.3)","3.1
(37.6)","5.5
(41.9)","2.0
(35.6)","1.6
(34.9)","10.4
(50.7)","8.1
(46.6)","6.0
(42.8)","15.5
(59.9)","5.4
(41.7)","1.1
(34.0)","7.4
(45.3)","7.2
(45.0)","2.1
(35.8)","5.2
(41.4)","1.2
(34.2)","4.7
(40.5)","6.5
(43.7)","17.2
(63.0)","4.1
(39.4)","13.8
(56.8)","10.5
(50.9)","7.1
(44.8)","0.7
(33.3)","4.4
(39.9)","4.8
(40.6)","15.0
(59.0)","4.7
(40.5)","8.0
(46.4)","7.1
(44.8)","4.9
(40.8)","14.9
(58.8)","15.3
(59.5)","2.6
(36.7)","4.4
(39.9)","11.5
(52.7)","1.9
(35.4)","8.0
(46.4)"
Dec,"8.1
(46.6)","3.0
(37.4)","1.1
(34.0)","−3.4
(25.9)","3.9
(39.0)","0.9
(33.6)","0.7
(33.3)","1.4
(34.5)","12.0
(53.6)","−0.3
(31.5)","2.5
(36.5)","−0.9
(30.4)","−2.0
(28.4)","7.7
(45.9)","5.4
(41.7)","1.3
(34.3)","11.5
(52.7)","1.8
(35.2)","−0.2
(31.6)","5.6
(42.1)","3.3
(37.9)","−2.3
(27.9)","1.9
(35.4)","−2.9
(26.8)","1.8
(35.2)","1.7
(35.1)","13.9
(57.0)","−0.6
(30.9)","11.2
(52.2)","6.5
(43.7)","4.0
(39.2)","−3.1
(26.4)","0.2
(32.4)","1.1
(34.0)","12.4
(54.3)","0.2
(32.4)","4.2
(39.6)","2.7
(36.9)","0.7
(33.3)","12.3
(54.1)","12.6
(54.7)","−1.0
(30.2)","1.4
(34.5)","8.0
(46.4)","−2.3
(27.9)","5.5
(41.9)"
Year,"15.2
(59.4)","9.8
(49.6)","10.4
(50.7)","6.7
(44.1)","10.5
(50.9)","10.1
(50.2)","10.6
(51.1)","10.7
(51.3)","19.7
(67.5)","8.4
(47.1)","9.1
(48.4)","6.4
(43.5)","5.9
(42.6)","14.2
(57.6)","12.3
(54.1)","10.3
(50.5)","19.2
(66.6)","11.3
(52.3)","4.3
(39.7)","9.8
(49.6)","13.0
(55.4)","6.2
(43.2)","10.1
(50.2)","6.0
(42.8)","9.3
(48.7)","12.4
(54.3)","18.8
(65.8)","10.2
(50.4)","16.4
(61.5)","15.3
(59.5)","10.2
(50.4)","5.7
(42.3)","9.3
(48.7)","9.6
(49.3)","17.5
(63.5)","10.8
(51.4)","11.8
(53.2)","12.5
(54.5)","10.5
(50.9)","18.2
(64.8)","18.3
(64.9)","6.6
(43.9)","9.3
(48.7)","13.9
(57.0)","8.4
(47.1)","11.3
(52.3)"