Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Albania,6.7,7.8,10.0,13.4,18.0,21.6,24.0,23.8,20.7,16.0,11.7,8.1,15.2
Andorra,2.2,3.5,5.8,7.5,11.5,15.4,18.8,18.5,14.9,10.3,5.7,3.0,9.8
Austria,0.3,1.5,5.7,10.7,15.7,18.7,20.8,20.2,15.4,10.2,5.1,1.1,10.4
Belarus,-4.5,-4.4,0.0,7.2,13.3,16.4,18.5,17.5,12.1,6.6,0.6,-3.4,6.7
Belgium,3.3,3.7,6.8,9.8,13.6,16.2,18.4,18.0,14.9,11.1,6.8,3.9,10.5
Bosnia and Herzegovina,-0.5,1.4,5.7,10.0,14.8,17.7,19.7,19.7,15.3,11.0,5.4,0.9,10.1
Bulgaria,-0.5,1.1,5.4,10.6,15.4,18.9,21.2,21.0,16.5,11.3,5.1,0.7,10.6
Croatia,0.3,2.3,6.4,10.7,15.8,18.8,20.6,20.1,15.9,10.5,5.0,1.4,10.7
Cyprus,10.6,10.6,13.1,17.1,22.3,26.9,29.7,29.4,26.2,22.3,16.3,12.0,19.7
Czech Republic,-1.4,-0.4,3.6,8.4,13.4,16.1,18.2,17.8,13.5,8.5,3.1,-0.3,8.4
Denmark,1.4,1.4,3.5,7.7,12.5,15.6,18.1,17.7,13.9,9.8,5.5,2.5,9.1
Estonia,-2.9,-3.6,-0.6,4.8,10.2,14.5,17.6,16.5,12.0,6.5,2.0,-0.9,6.4
Finland,-3.9,-4.7,-1.3,3.9,10.2,14.6,17.8,16.3,11.5,6.6,1.6,-2.0,5.9
France,7.1,7.8,10.7,13.0,16.6,19.8,21.7,21.9,18.8,15.2,10.4,7.7,14.2
France.1,4.9,5.6,8.8,11.4,15.1,18.2,20.4,20.2,16.9,12.9,8.1,5.4,12.3
Germany,0.6,2.3,5.1,10.2,14.8,17.9,20.3,19.7,15.3,10.5,6.0,1.3,10.3
Greece,10.2,10.9,13.2,16.9,21.8,26.6,29.3,29.3,25.0,20.1,15.5,11.5,19.2
Hungary,0.4,2.3,6.1,12.0,16.6,19.7,21.5,21.2,16.9,11.8,5.4,1.8,11.3
Iceland,-0.5,0.4,0.5,2.9,6.3,9.0,10.6,10.3,7.4,4.4,1.1,-0.2,4.3
Ireland,5.3,5.3,6.8,8.3,10.9,13.6,15.6,15.3,13.4,10.5,7.4,5.6,9.8
Italy,2.5,4.7,9.0,12.2,17.0,20.8,23.6,23.0,19.2,13.4,7.2,3.3,13.0
Latvia,-4.7,-4.2,0.5,5.1,11.4,15.5,16.9,16.2,12.0,7.4,2.1,-2.3,6.2
Liechtenstein,0.8,2.1,6.3,9.9,14.4,17.1,19.0,18.4,14.9,10.9,5.2,1.9,10.1
Lithuania,-6.1,-4.8,-0.6,5.7,12.5,15.8,16.9,16.3,11.6,6.6,1.2,-2.9,6.0
Luxembourg,0.8,1.6,5.2,8.7,13.0,15.9,18.2,17.7,13.9,9.5,4.7,1.8,9.3
Macedonia,0.1,2.6,7.6,12.1,17.3,21.5,23.8,23.8,18.8,13.1,6.5,1.7,12.4
Malta,12.8,12.8,13.3,15.6,18.9,22.8,26.1,26.7,23.9,21.1,17.2,13.9,18.8
Moldova,-1.9,-0.8,3.7,10.4,16.5,19.9,22.1,21.7,16.3,10.5,4.1,-0.6,10.2
Monaco,10.2,10.2,12.0,13.8,17.5,20.9,23.8,24.2,21.1,17.9,13.8,11.2,16.4
Montenegro,5.0,6.8,10.0,13.9,19.0,22.8,26.0,25.6,21.4,15.9,10.5,6.5,15.3
Netherlands,3.4,3.5,6.1,9.1,12.9,15.4,17.6,17.5,14.7,11.0,7.1,4.0,10.2
Norway,-4.3,-4.0,-0.2,4.5,10.8,15.2,16.4,15.2,10.8,6.3,0.7,-3.1,5.7
Poland,-1.0,0.4,4.1,9.8,14.6,18.3,20.0,19.2,14.1,9.2,4.4,0.2,9.3
Poland.1,0.0,1.1,4.3,9.7,14.3,17.7,19.7,19.3,14.5,9.6,4.8,1.1,9.6
Portugal,11.6,12.7,14.9,15.9,18.0,21.2,23.1,23.5,22.1,18.8,15.0,12.4,17.5
Romania,-1.3,0.4,5.4,11.2,16.8,20.6,22.5,22.0,16.9,11.0,4.7,0.2,10.8
San Marino,2.7,4.2,6.4,10.1,14.6,18.5,21.3,21.4,17.8,12.8,8.0,4.2,11.8
Serbia,1.4,3.1,7.6,12.9,18.1,21.0,23.0,22.7,18.0,12.9,7.1,2.7,12.5
Slovakia,-0.4,1.2,5.5,11.0,16.0,19.1,21.3,20.7,15.9,10.4,4.9,0.7,10.5
Spain,11.8,12.4,14.2,15.8,19.3,23.0,25.7,26.1,23.0,19.5,14.9,12.3,18.2
Spain.1,11.8,12.5,14.6,16.2,19.0,22.9,25.6,26.1,23.5,19.7,15.3,12.6,18.3
Sweden,-2.8,-3.0,0.1,4.6,10.7,15.6,17.2,16.2,11.9,7.5,2.6,-1.0,6.6
Switzerland,0.3,1.3,5.3,8.8,13.3,16.4,18.6,18.0,14.1,9.9,4.4,1.4,9.3
Turkey,5.7,5.7,7.0,11.1,15.7,20.4,22.9,23.1,19.8,15.6,11.5,8.0,13.9
Ukraine,-3.5,-3.0,1.8,9.3,15.5,18.5,20.5,19.7,14.2,8.4,1.9,-2.3,8.4
United Kingdom,5.2,5.3,7.6,9.9,13.3,16.5,18.7,18.5,15.7,12.0,8.0,5.5,11.3